image_name,kernel,offset,cost_function,rmse,bad_pixels

im2,3,15,SSD,100.71837950627666,97.18637037037037
im2,3,30,SSD,97.09398534982026,98.76385185185185
im2,3,45,SSD,74.02661735509085,99.08918518518519
im2,5,30,SSD,100.62127229626208,99.02874074074074
im2,5,45,SSD,71.33454595023315,99.36948148148149
im2,5,60,SSD,50.07034902866018,99.42518518518519
im2,6,30,SSD,105.68761303780889,99.05777777777777
im2,6,60,SSD,47.38820756576784,99.54548148148147
im2,6,80,SSD,55.19478418728966,99.504
im2,8,45,SSD,75.79037820296287,99.29007407407407
im2,8,60,SSD,47.52719056459116,99.50103703703704
im2,8,85,SSD,57.67607291300845,99.49511111111111
im2,3,15,SAD,99.85864210454177,96.37925925925927
im2,3,30,SAD,99.17029656848608,97.11940740740741
im2,3,45,SAD,98.6382073070103,97.48207407407408
im2,5,30,SAD,101.46313076040825,97.00385185185185
im2,5,45,SAD,99.80271944636021,97.42103703703704
im2,5,60,SAD,97.69726928971284,97.1774814814815
im2,6,30,SAD,103.35700356853746,96.97540740740742
im2,6,60,SAD,98.71468014959598,97.25985185185185
im2,6,80,SAD,97.15539275171884,97.22192592592592
im2,8,45,SAD,102.10527723148553,97.48918518518519
im2,8,60,SAD,99.72151076688334,97.27762962962963
im2,8,85,SAD,97.53662368566998,97.03348148148147
